Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Jan 30, 2022","Jan 30, 2022",Quilt Set,USD,1702 TEIKA,Generic,bedding,BROAD,discount country chic bedding,3,2,66.6667%,$0.05,$0.09,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 05, 2022","Feb 05, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,aztec quilt king,8,1,12.5000%,$0.31,$0.31,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Jan 30, 2022","Jan 30, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,bed quilt king south shore,4,1,25.0000%,$0.29,$0.29,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 05, 2022","Feb 05, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,blue quilts king size,1,1,100.0000%,$0.34,$0.34,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Jan 30, 2022","Jan 30, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,blush clay plaid king quilt,1,1,100.0000%,$0.29,$0.29,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 04, 2022","Feb 04, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,chambray quilt king,10,1,10.0000%,$0.36,$0.36,59.99,0.01,166.64,1,1,100.0000%,1,0,$59.99,$0.00
"Feb 03, 2022","Feb 03, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,colorful king quilt,8,1,12.5000%,$0.36,$0.36,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 05, 2022","Feb 05, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,cotton king quilt for the bed,1,1,100.0000%,$0.34,$0.34,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 04, 2022","Feb 04, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,cotton solid king quilt brown,8,1,12.5000%,$0.37,$0.37,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 03, 2022","Feb 03, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,cream and navy king quilt,2,1,50.0000%,$0.37,$0.37,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
