Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Mar 06, 2022","Mar 06, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,lime green king quilt,3,1,33.3333%,$0.26,$0.26,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 04, 2022","Mar 04, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,sea mist king quilt,2,1,50.0000%,$0.22,$0.22,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 05, 2022","Mar 05, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,2 standard quilt pillowcasespalm trees,1,1,100.0000%,$0.45,$0.45,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 06, 2022","Mar 06, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,antique style quilt,6,1,16.6667%,$0.45,$0.45,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 04, 2022","Mar 04, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,aqua queen quilt,1,1,100.0000%,$0.46,$0.46,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 06, 2022","Mar 06, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,army green quilt,12,1,8.3333%,$0.45,$0.45,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 04, 2022","Mar 04, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,bed bath and body colorful quilts,1,1,100.0000%,$0.35,$0.35,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 03, 2022","Mar 06, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,bed quilt,572,4,0.6993%,$0.41,$1.65,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 03, 2022","Mar 03, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,bed quilt coral,1,1,100.0000%,$0.46,$0.46,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 05, 2022","Mar 05, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,better homes and garden quilts,3,2,66.6667%,$0.44,$0.88,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 04, 2022","Mar 06, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,blush quilt,30,2,6.6667%,$0.46,$0.91,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 04, 2022","Mar 04, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,bright colored quilt,1,1,100.0000%,$0.44,$0.44,54.99,0.01,124.98,1,1,100.0000%,1,0,$54.99,$0.00
"Mar 05, 2022","Mar 05, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,bright green cotton quilts,2,1,50.0000%,$0.44,$0.44,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 04, 2022","Mar 06, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,chambray quilt,27,2,7.4074%,$0.43,$0.86,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 02, 2022","Mar 02, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,colorful quilt,8,1,12.5000%,$0.45,$0.45,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 04, 2022","Mar 04, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,comfort spaces quilt,11,1,9.0909%,$0.44,$0.44,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 03, 2022","Mar 03, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,coral quilt,31,2,6.4516%,$0.49,$0.98,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 06, 2022","Mar 06, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,coral quilt full size,1,1,100.0000%,$0.45,$0.45,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 05, 2022","Mar 05, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,cotton quilt bedspread made in usa,2,1,50.0000%,$0.45,$0.45,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 28, 2022","Feb 28, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,cotton quilt full,1,1,100.0000%,$0.36,$0.36,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 28, 2022","Feb 28, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,cotton quilts,65,1,1.5385%,$0.42,$0.42,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 28, 2022","Feb 28, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,cotton voile quilt,8,1,12.5000%,$0.33,$0.33,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 04, 2022","Mar 04, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,country quilts,15,1,6.6667%,$0.46,$0.46,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 03, 2022","Mar 03, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,country style quilts in full size,1,1,100.0000%,$0.49,$0.49,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 01, 2022","Mar 01, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,cream quilt,2,1,50.0000%,$0.46,$0.46,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 04, 2022","Mar 04, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,cyan quilt bedding for teenage boy,2,1,50.0000%,$0.46,$0.46,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 06, 2022","Mar 06, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,dark clay quilt,7,1,14.2857%,$0.45,$0.45,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
