Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Mar 19, 2022","Mar 19, 2022",Quilt Set,USD,1702 TEIKA,Generic,bedspread,BROAD,bedspread,4,1,25.0000%,$0.03,$0.03,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 14, 2022","Mar 14, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,120x king size quilt,1,1,100.0000%,$0.37,$0.37,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 14, 2022","Mar 14, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,128x120 king lightweight quilt,8,2,25.0000%,$0.37,$0.74,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 20, 2022","Mar 20, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,blue farmhouse king quilt bedding,2,1,50.0000%,$0.28,$0.28,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 15, 2022","Mar 15, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,green blue king quilt,1,1,100.0000%,$0.33,$0.33,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 16, 2022","Mar 16, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king quilt,20,1,5.0000%,$0.30,$0.30,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 15, 2022","Mar 15, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king quilt cotton,1,1,100.0000%,$0.33,$0.33,39.98,0.01,121.15,1,2,100.0000%,0,2,$0.00,$39.98
"Mar 14, 2022","Mar 14, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king quilt green,30,1,3.3333%,$0.25,$0.25,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 14, 2022","Mar 14, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king quilt soft,1,1,100.0000%,$0.37,$0.37,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 17, 2022","Mar 17, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king size bed quilt,14,2,14.2857%,$0.05,$0.10,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 14, 2022","Mar 14, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king size green quilt,53,2,3.7736%,$0.41,$0.82,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 14, 2022","Mar 14, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king size quilt,49,2,4.0816%,$0.41,$0.82,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 18, 2022","Mar 18, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king size quilt heavyweight,1,1,100.0000%,$0.27,$0.27,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
