Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Mar 13, 2022","Mar 13, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,115x98 king extra thick large patch quilt,9,1,11.1111%,$0.40,$0.40,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 12, 2022","Mar 12, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,aqua king quilt,9,2,22.2222%,$0.46,$0.92,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 13, 2022","Mar 13, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,aqua king size quilt,1,1,100.0000%,$0.41,$0.41,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 08, 2022","Mar 08, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,aqua print king quilt,1,1,100.0000%,$0.25,$0.25,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 13, 2022","Mar 13, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,aqua quilt king,80,1,1.2500%,$0.41,$0.41,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 13, 2022","Mar 13, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,blue bed quilt king size,1,1,100.0000%,$0.41,$0.41,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 12, 2022","Mar 12, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,blue quilt for king,2,1,50.0000%,$0.46,$0.46,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 12, 2022","Mar 12, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,brown king quilt set,4,1,25.0000%,$0.46,$0.46,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 12, 2022","Mar 12, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,colorful cotton quilts king size,1,1,100.0000%,$0.46,$0.46,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 12, 2022","Mar 12, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,colorful king quilt,2,1,50.0000%,$0.46,$0.46,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 07, 2022","Mar 07, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,cool soft cotton king quilt,1,1,100.0000%,$0.29,$0.29,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 13, 2022","Mar 13, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,cotton quilt king,35,1,2.8571%,$0.41,$0.41,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 11, 2022","Mar 11, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,cotton reversible quilt king,4,1,25.0000%,$0.42,$0.42,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 11, 2022","Mar 13, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,extra large king size quilts,72,3,4.1667%,$0.30,$0.90,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 08, 2022","Mar 08, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,extra large quilt super king,15,1,6.6667%,$0.32,$0.32,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 11, 2022","Mar 11, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,extra long king size quilt,15,1,6.6667%,$0.42,$0.42,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 12, 2022","Mar 12, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,extra wide quilt king,2,1,50.0000%,$0.46,$0.46,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 11, 2022","Mar 11, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,geometric quilt king size,1,1,100.0000%,$0.42,$0.42,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 09, 2022","Mar 09, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,green quilt king size,3,1,33.3333%,$0.35,$0.35,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 09, 2022","Mar 09, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,heavyweight extra king quilt,2,1,50.0000%,$0.35,$0.35,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 13, 2022","Mar 13, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king bed quilt,10,1,10.0000%,$0.46,$0.46,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 12, 2022","Mar 12, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king cotton quilt,41,1,2.4390%,$0.46,$0.46,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 12, 2022","Mar 12, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king kantha quilt,6,1,16.6667%,$0.28,$0.28,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 12, 2022","Mar 12, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king lightweight quilt,8,1,12.5000%,$0.46,$0.46,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 11, 2022","Mar 11, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king medium weight quilt,25,1,4.0000%,$0.42,$0.42,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 09, 2022","Mar 12, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king quilt,602,6,0.9967%,$0.38,$2.27,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 12, 2022","Mar 12, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king quilt blue,5,1,20.0000%,$0.46,$0.46,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 13, 2022","Mar 13, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king quilt sets,4,1,25.0000%,$0.46,$0.46,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 11, 2022","Mar 11, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king quilt with shams,7,1,14.2857%,$0.42,$0.42,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 13, 2022","Mar 13, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king quilt with shams tan,12,1,8.3333%,$0.41,$0.41,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 12, 2022","Mar 12, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,"king quilt, navy",5,1,20.0000%,$0.46,$0.46,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 13, 2022","Mar 13, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king quilts,6,1,16.6667%,$0.45,$0.45,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 09, 2022","Mar 09, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king size bed quilt green,3,1,33.3333%,$0.35,$0.35,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 12, 2022","Mar 12, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king size cotton quilt,31,1,3.2258%,$0.46,$0.46,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 13, 2022","Mar 13, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king size lightweight quilt,7,2,28.5714%,$0.44,$0.87,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 13, 2022","Mar 13, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king size quilt farmhouse,3,1,33.3333%,$0.41,$0.41,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 11, 2022","Mar 11, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king size quilts,51,3,5.8824%,$0.42,$1.26,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 13, 2022","Mar 13, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king size summer quilt,6,1,16.6667%,$0.46,$0.46,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 11, 2022","Mar 11, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king sized quilts for bed,51,1,1.9608%,$0.41,$0.41,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
