Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Apr 17, 2022","Apr 17, 2022",Quilt Set,USD,1702 TEIKA,Generic,queen quilt,BROAD,cross stitch quilt queen,1,1,100.0000%,$0.08,$0.08,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 12, 2022","Apr 12, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,108 quilt backing,5,1,20.0000%,$0.20,$0.20,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 11, 2022","Apr 13, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,cotton quilt,4,2,50.0000%,$0.21,$0.42,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 12, 2022","Apr 12, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,full size cotton quilt,1,1,100.0000%,$0.20,$0.20,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 12, 2022","Apr 12, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,king bed quilt,4,2,50.0000%,$0.20,$0.40,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 12, 2022","Apr 12, 2022",Quilt Set,USD,1702,All Sizes,*,BROAD,b00z830kq8,2,1,50.0000%,$0.18,$0.18,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 11, 2022","Apr 11, 2022",Quilt Set,USD,1702,All Sizes,*,BROAD,b07ppvhr34,1,1,100.0000%,$0.27,$0.27,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 11, 2022","Apr 11, 2022",Quilt Set,USD,1702,All Sizes,*,BROAD,b087mvxczr,1,1,100.0000%,$0.32,$0.32,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 11, 2022","Apr 11, 2022",Quilt Set,USD,1702,All Sizes,*,BROAD,b092m82fzv,6,1,16.6667%,$0.16,$0.16,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 11, 2022","Apr 11, 2022",Quilt Set,USD,1702,All Sizes,*,BROAD,b09dhlskm1,48,1,2.0833%,$0.32,$0.32,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 12, 2022","Apr 12, 2022",Quilt Set,USD,1702,All Sizes,*,BROAD,b09kmrqxy7,45,2,4.4444%,$0.20,$0.39,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 11, 2022","Apr 11, 2022",Quilt Set,USD,1702,All Sizes,*,BROAD,breathable lightweight bed set king,1,1,100.0000%,$0.31,$0.31,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 11, 2022","Apr 11, 2022",Quilt Set,USD,1702,All Sizes,*,BROAD,chambray bedding,27,1,3.7037%,$0.33,$0.33,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 11, 2022","Apr 11, 2022",Quilt Set,USD,1702,All Sizes,*,BROAD,coverlet red,2,1,50.0000%,$0.31,$0.31,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 12, 2022","Apr 12, 2022",Quilt Set,USD,1702,All Sizes,*,BROAD,flax quilt,3,1,33.3333%,$0.26,$0.26,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 14, 2022","Apr 14, 2022",Quilt Set,USD,1702,All Sizes,*,BROAD,green summer bedspread,1,1,100.0000%,$0.13,$0.13,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 17, 2022","Apr 17, 2022",Quilt Set,USD,1702,All Sizes,*,BROAD,loft bedspread,3,1,33.3333%,$0.19,$0.19,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 12, 2022","Apr 12, 2022",Quilt Set,USD,1702,All Sizes,*,BROAD,lush decor quilts,2,1,50.0000%,$0.26,$0.26,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 12, 2022","Apr 12, 2022",Quilt Set,USD,1702,All Sizes,*,BROAD,pick stitch quilt king,1,1,100.0000%,$0.26,$0.26,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 14, 2022","Apr 14, 2022",Quilt Set,USD,1702,All Sizes,*,BROAD,sea green bedspread,2,1,50.0000%,$0.29,$0.29,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 13, 2022","Apr 13, 2022",Quilt Set,USD,1702,All Sizes,*,BROAD,seafoam green bedding,3,1,33.3333%,$0.23,$0.23,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 11, 2022","Apr 11, 2022",Quilt Set,USD,1702,All Sizes,*,BROAD,stonewashed quilt,4,1,25.0000%,$0.31,$0.31,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
