Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Apr 20, 2022","Apr 20, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king quilt,1,1,100.0000%,$0.09,$0.09,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 24, 2022","Apr 24, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,quilt king size,5,2,40.0000%,$0.08,$0.16,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 24, 2022","Apr 24, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,quilts king size,4,1,25.0000%,$0.08,$0.08,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 22, 2022","Apr 22, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,navy mitchell fabric quilt,1,1,100.0000%,$0.12,$0.12,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 24, 2022","Apr 24, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,quilt hand stitched,4,1,25.0000%,$0.15,$0.15,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 24, 2022","Apr 24, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,seafoam green quilt,1,1,100.0000%,$0.07,$0.07,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 22, 2022","Apr 22, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,textured quilt mustard,1,1,100.0000%,$0.07,$0.07,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 23, 2022","Apr 23, 2022",Quilt Set,USD,1702,All Sizes,*,BROAD,aqua coverlet full,1,1,100.0000%,$0.13,$0.13,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 18, 2022","Apr 24, 2022",Quilt Set,USD,1702 EXACT,ALL SIZES,bedspreads queen size,EXACT,bedspread queen size,8019,41,0.5113%,$0.73,$29.85,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 18, 2022","Apr 24, 2022",Quilt Set,USD,1702 EXACT,ALL SIZES,bedspreads queen size,EXACT,bedspreads queen size,6798,30,0.4413%,$0.65,$19.50,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 19, 2022","Apr 19, 2022",Quilt Set,USD,1702 EXACT,ALL SIZES,bedspreads queen size,EXACT,bedspreads+queen+size,5,1,20.0000%,$0.76,$0.76,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 20, 2022","Apr 20, 2022",Quilt Set,USD,1702 EXACT,ALL SIZES,bedspreads queen size,EXACT,bedspreads/ queen size,13,2,15.3846%,$0.76,$1.52,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 18, 2022","Apr 24, 2022",Quilt Set,USD,1702 EXACT,ALL SIZES,quilt,EXACT,quilt,1033,9,0.8712%,$0.28,$2.48,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 19, 2022","Apr 22, 2022",Quilt Set,USD,1702 EXACT,ALL SIZES,king size blanket,EXACT,king size blanket,231,3,1.2987%,$0.54,$1.63,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 24, 2022","Apr 24, 2022",Quilt Set,USD,1801 Hand,Generic,bedspread,EXACT,bedspread,3,1,33.3333%,$0.24,$0.24,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 19, 2022","Apr 19, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,108 x 98 comforter,3,1,33.3333%,$0.49,$0.49,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 19, 2022","Apr 19, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,108 x 98 textured bedspread,1,1,100.0000%,$0.49,$0.49,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 23, 2022","Apr 23, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,108” king quilt,7,1,14.2857%,$0.64,$0.64,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 22, 2022","Apr 22, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,110 x 110 bedspread,4,1,25.0000%,$0.66,$0.66,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 21, 2022","Apr 21, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,110x96 blanket,3,1,33.3333%,$0.66,$0.66,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 18, 2022","Apr 18, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,110x96 king comforter,3,1,33.3333%,$0.70,$0.70,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 21, 2022","Apr 21, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,110x96 quilt,3,1,33.3333%,$0.54,$0.54,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 18, 2022","Apr 18, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,118 x 106 cotton bedspread,3,1,33.3333%,$0.63,$0.63,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 23, 2022","Apr 23, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,118 x 106 king bedspread,6,1,16.6667%,$0.64,$0.64,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 20, 2022","Apr 20, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,118” by 106” bedspread,1,1,100.0000%,$0.48,$0.48,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 23, 2022","Apr 23, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,120x120 coverlet,4,1,25.0000%,$0.64,$0.64,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 24, 2022","Apr 24, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,120x120 king coverlet,2,1,50.0000%,$0.43,$0.43,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 22, 2022","Apr 22, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,120x120 king coverlet lightweight,2,1,50.0000%,$0.67,$0.67,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 19, 2022","Apr 19, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,120x120 lightweight quilt,14,1,7.1429%,$0.48,$0.48,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 19, 2022","Apr 19, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,120x120 microfiber quilt,1,1,100.0000%,$0.49,$0.49,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 22, 2022","Apr 22, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,120x120 taupe bedding,1,1,100.0000%,$0.66,$0.66,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 18, 2022","Apr 18, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,120x120 tencel quilt,4,1,25.0000%,$0.70,$0.70,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 18, 2022","Apr 18, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,120x128 bedspread,21,1,4.7619%,$0.52,$0.52,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 23, 2022","Apr 23, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,120x90 bedspread,1,1,100.0000%,$0.67,$0.67,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 23, 2022","Apr 23, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,120x90 blanket,3,1,33.3333%,$0.20,$0.20,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 20, 2022","Apr 20, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,132x120 bedding,1,1,100.0000%,$0.64,$0.64,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 18, 2022","Apr 18, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,132x120 quilt,2,1,50.0000%,$0.52,$0.52,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 23, 2022","Apr 23, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,132” quilt,2,1,50.0000%,$0.64,$0.64,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
