Department,Search Term,Search Frequency Rank,#1 Clicked ASIN,#1 Product Title,#1 Click Share,#1 Conversion Share,#2 Clicked ASIN,#2 Product Title,#2 Click Share,#2 Conversion Share,#3 Clicked ASIN,#3 Product Title,#3 Click Share,#3 Conversion Share
Amazon.com,pillow covers,635,B08HRWN59K,"pendali Throw Pillow Covers 18x18, Decorative Square Throw Pillow Cover Cushion Covers Pillowcase, Home Decor Decorations for Sofa Couch Bed Chair Car, Set of 4",9.18%,7.31%,B071SH239N,"White Classic Luxury Hotel Collection Zippered Style Pillow Cover, 200 Thread Count, Soft Quiet Zippered Pillow Protectors, Standard Size, Set of 2",7.76%,13.49%,B08HRWT6VG,"pendali Throw Pillow Covers 18x18, Decorative Square Throw Pillow Cover Cushion Covers Pillowcase, Home Decor Decorations for Sofa Couch Bed Chair Car, Set of 4",4.87%,4.22%
Amazon.com,body pillow,722,B011U1LIK8,"Snuggle-Pedic Full Body Pillow for Adults - GreenGuard Gold Certified 20 x 54 Long Pillow w/ Shredded Memory Foam & Kool-Flow Pillow Cover, Made in The USA",14.88%,15.15%,B002IVTEJ2,"Soft-Tex SofLOFT Body Pillow, 20 x 54, White",8.10%,10.25%,B07DQ96BTG,"CozyHome PilBody Body Pillow, 1 Count (Pack of 1), White",7.70%,8.36%
Amazon.com,pillow,774,B01LYNW421,"Beckham Hotel Collection Bed Pillows for Sleeping - Queen Size, Set of 2 - Cooling, Luxury Gel Pillow for Back, Stomach or Side Sleepers",21.88%,17.91%,B09DSRLTQH,Utopia Bedding Gusseted Pillow (2-Pack) Premium Quality Bed Pillows - Side Back Sleepers - Grey Gusset - Queen - 18 x 26 Inches,10.94%,13.15%,B082DQX6TX,PharMeDoc POP-UP Pillow – 20 x 26 Luxury Hotel Quality – Premium Plush Poly-Fil – Adjustable Expandable Bed Pillow for Neck Support & Comfort - Single Pack,7.59%,10.47%
Amazon.com,pillow covers 18x18,"1,254",B08F58XCH8,"pinata Geometric Pillow Covers Set of 4, Premium Linen Modern Decorative Pillow Case for Bed Sofa Couch Chair Car Home 18x18 Inch",4.50%,4.99%,B094J4L7MD,"Farmhouse Pillow Covers 18x18 Set of 4,Eucalyptus Leaves Decorations Truck Vase Home Sweet Home Linen Cushion Case Gifts for Home Decor",4.06%,3.74%,B08TWGDDVD,"Volcanics Pack of 2 Faux Wool Throw Pillow Covers 18x18 Inches Decorative Farmhouse Velvet Couch Pillow Case Soft Plush Square Boho Cushion Pillowcase, Beige",3.43%,3.74%
Amazon.com,throw pillow covers,"1,446",B08HRWN59K,"pendali Throw Pillow Covers 18x18, Decorative Square Throw Pillow Cover Cushion Covers Pillowcase, Home Decor Decorations for Sofa Couch Bed Chair Car, Set of 4",4.80%,4.72%,B09LC9V2CC,"Hoitten Pillow Covers, Set of 2 Throw Pillow Covers, Pillow Covers 18x18, Decorative Pillow Covers for Couch Sofa Bedroom Home Office (Dark Blue,18x18 Inches)",4.29%,0.10%,B08TWHWRR9,"cygnus Set of 2 Farmhouse Decor Stripe Patchwork Linen Throw Pillow Covers,Modern Tan Faux Leather Accent Pillow Covers 18x18 inch,Gray",4.07%,3.62%
Amazon.com,neck pillow,"1,496",B00DZKQLZ0,"World's Best Feather Soft Microfiber Neck Pillow, Charcoal",12.30%,15.20%,B082K8ZNQ1,"MLVOC Travel Pillow 100% Pure Memory Foam Neck Pillow, Comfortable & Breathable Cover, Machine Washable, Airplane Travel Kit with 3D Contoured Eye Masks, Earplugs, and Luxury Bag, Standard (Black)",7.33%,9.04%,B01DODMU9I,"BCOZZY Neck Pillow for Travel Provides Double Support to The Head, Neck, and Chin in Any Sleeping Position on Flights, Car, and at Home, Comfortable Airplane Travel Pillow, Large, Navy",6.04%,5.75%
Amazon.com,travel pillow,"2,925",B082K8ZNQ1,"MLVOC Travel Pillow 100% Pure Memory Foam Neck Pillow, Comfortable & Breathable Cover, Machine Washable, Airplane Travel Kit with 3D Contoured Eye Masks, Earplugs, and Luxury Bag, Standard (Black)",13.49%,17.35%,B07L5GGSRJ,"MLVOC Travel Pillow 100% Pure Memory Foam Neck Pillow, Comfortable & Breathable Cover - Machine Washable, Airplane Travel Kit with 3D Sleep Mask, Earplugs, and Luxury Bag, Grey",6.15%,6.45%,B07C81RVK9,"Wise Owl Outfitters Camping Pillow - Essential Camping Accessories, Backpacking Pillow for Sleeping and Traveling - Compressible Memory Foam Travel Pillow, Compact - Small/Medium",5.44%,3.70%
Amazon.com,18x18 pillow cover,"3,194",B08TWHWRR9,"cygnus Set of 2 Farmhouse Decor Stripe Patchwork Linen Throw Pillow Covers,Modern Tan Faux Leather Accent Pillow Covers 18x18 inch,Gray",5.44%,5.94%,B094J4L7MD,"Farmhouse Pillow Covers 18x18 Set of 4,Eucalyptus Leaves Decorations Truck Vase Home Sweet Home Linen Cushion Case Gifts for Home Decor",4.18%,3.68%,B08TWGDDVD,"Volcanics Pack of 2 Faux Wool Throw Pillow Covers 18x18 Inches Decorative Farmhouse Velvet Couch Pillow Case Soft Plush Square Boho Cushion Pillowcase, Beige",2.70%,2.14%
Amazon.com,valentines day pillow covers 18x18,"3,423",B07M5VT7HB,TUPARKA 4 Pcs Mother's Day Throw Pillow Covers Pillow Case Cover 18 x 18 Inch Home Cushion Decoration,6.25%,6.19%,B09LRW8XK5,Valentines Day Pillow Covers 18x18 Lovebird Love You Sweetheart Be Mine XXOO Sweet Heart Hello Valenine Love Always Pillowcase for Valentines Day Throw Pillows Cushion Valentines Decorations,5.74%,6.03%,B08M9QLKHJ,Geefuun 8PCS Valentine’s Day Throw Pillow Case Decorations - Valentine Linen Cushion Cover 18 x 18 Inches Pink Truck Red Heart Love Bicycle Gift Decor for Sofa Couch,5.29%,4.23%
Amazon.com,bath pillow,"3,550",B076VL1PD7,"Bath Haven Bath Pillow Bathtub Pillow Back Neck Support Pillow, Spa Cushion for Tub, Relaxing Headrest Bath Pillow, Portable Washable Bathtub Accessories with 3D Air Mesh Thick Soft Bath Pillow, White",16.95%,14.97%,B00ZRWMCXY,"Gorilla Grip Comfort Slip Resistant Large Thick Soft Waterproof Relaxing Spa Bath Pillow, Fits Curved or Straight Back Tubs, Cushion Support Head and Neck in Tub, Bathtub Accessory, 2 Panel, White",16.42%,15.93%,B09F2VH47V,"Bath Pillow, Luxury Bathtub Pillow Neck Support, Ergonomic Bath Pillows with 6 Suction Cup, 3D Air Mesh Headrest for Tub Shower Pillow Neck Shoulder Back and Head Support.",7.77%,11.19%
