(Parent) ASIN,(Child) ASIN,Title,Sessions,Session Percentage,Page Views,Page Views Percentage,Featured Offer (Buy Box) Percentage,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B098Y9Y9WG,B07HN8X9F6,"KASENTEX All Season Down Alternative Quilted Comforter Set with Sham(s) - Reversible Ultra Soft Duvet Insert Hypoallergenic Machine Washable, Queen, Pink Potpourri/Quartz Silver","94,408",3.47%,"134,404",3.87%,89.59%,"6,435",61,6.82%,0.06%,"$357,990.28","$3,422.35","6,315",61
B07XJQSD53,B07HN8X9F6,"KASENTEX All Season Down Alternative Quilted Comforter Set with Sham(s) - Reversible Ultra Soft Duvet Insert Hypoallergenic Machine Washable, Queen, Pink Potpourri/Quartz Silver","21,544",0.79%,"29,292",0.84%,93.59%,"3,813",27,17.70%,0.13%,"$215,501.83","$1,521.41","3,789",27
B098Y9Y9WG,B07HNVPR6C,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Hypoallergenic Machine Washable, Twin, Pink Potpourri/Quartz Silver","70,886",2.61%,"93,173",2.69%,94.46%,"3,677",56,5.19%,0.08%,"$167,954.08","$2,579.63","3,502",47
B098Y9Y9WG,B07X1V1MDS,"KASENTEX All Season Down Alternative Quilted Comforter Set - Reversible Duvet Insert - Machine Washable (Rose/Beige, Queen Set)","46,270",1.70%,"58,498",1.69%,97.38%,"2,552",21,5.52%,0.05%,"$140,644.68","$1,140.53","2,506",21
B07XJQSD53,B07HNVPR6C,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Hypoallergenic Machine Washable, Twin, Pink Potpourri/Quartz Silver","16,332",0.60%,"21,931",0.63%,95.32%,"2,122",20,12.99%,0.12%,"$97,586.35",$941.58,"1,975",19
B098Y9Y9WG,B07HNSLKJQ,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable, Queen, Quartz Silver/Pebble Grey","31,534",1.16%,"38,979",1.12%,94.01%,"1,960",14,6.22%,0.04%,"$108,372.14",$777.91,"1,929",14
B098Y9Y9WG,B085NQLY4K,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable (Yellow/Grey, Queen Set)","38,423",1.41%,"47,105",1.36%,98.41%,"1,868",10,4.86%,0.03%,"$102,608.93",$546.30,"1,856",10
B098Y9Y9WG,B07HNKC98L,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable, King, Quartz Silver/Pebble Grey","30,462",1.12%,"40,159",1.16%,93.02%,"1,739",18,5.71%,0.06%,"$110,852.75","$1,127.66","1,727",17
B07XJQSD53,B085NQLY4K,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable (Yellow/Grey, Queen Set)","6,871",0.25%,"9,420",0.27%,99.03%,"1,508",12,21.95%,0.17%,"$81,731.73",$652.60,"1,499",12
B08JHF6BYW,B08JHC2TG1,"KASENTEX Luxury Plush Sherpa Comforter, Cozy Reversible - Goose Down Alternative Fill, Machine Washable Bedding, Excalibur Grey, King Size","12,714",0.47%,"16,476",0.47%,97.96%,"1,442",9,11.34%,0.07%,"$97,146.98",$614.11,"1,431",9
B098Y9Y9WG,B07HNCFN7M,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Hypoallergenic Machine Washable, King, Pink Potpourri/Quartz Silver","22,346",0.82%,"27,815",0.80%,95.77%,"1,379",21,6.17%,0.09%,"$89,378.13","$1,363.82","1,372",21
B07XJQSD53,B07X1V1MDS,"KASENTEX All Season Down Alternative Quilted Comforter Set - Reversible Duvet Insert - Machine Washable (Rose/Beige, Queen Set)","9,312",0.34%,"13,548",0.39%,99.21%,"1,362",12,14.63%,0.13%,"$75,297.37",$653.73,"1,353",11
B07DZVYBBW,B07M6LW93W,"KASENTEX Quilt-Bedding-Coverlet-Blanket-Set, Machine Washable, Ultra Soft, Lightweight, Stone-Washed, Detailed Stitching - Solid Color (Camel, Oversized King + 2 King Shams)","24,803",0.91%,"33,855",0.98%,96.43%,"1,341",14,5.41%,0.06%,"$91,907.32",$953.58,"1,331",14
B098Y9Y9WG,B085NQR1Z8,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable (Yellow/Grey, King Set)","25,623",0.94%,"32,577",0.94%,96.48%,"1,331",12,5.19%,0.05%,"$85,384.22",$766.61,"1,327",12
B07XJQSD53,B07HNKC98L,"KASENTEX All Season Down Alternative Quilted Comforter Set Reversible Ultra Soft Duvet Insert Machine Washable, King, Quartz Silver/Pebble Grey","10,970",0.40%,"15,266",0.44%,99.14%,"1,310",8,11.94%,0.07%,"$85,576.64",$521.95,"1,306",8
B08JHF6BYW,B08JH8J3MT,"KASENTEX Luxury Plush Sherpa Comforter, Cozy Reversible - Goose Down Alternative Fill, Machine Washable Bedding, Excalibur Grey, Queen Size","12,799",0.47%,"16,598",0.48%,97.06%,"1,322",10,10.33%,0.08%,"$77,026.82",$591.39,"1,303",10
B08JHF6BYW,B08JHD1RX9,"KASENTEX Luxury Plush Sherpa Comforter, Cozy Reversible - Goose Down Alternative Fill, Machine Washable Bedding, Excalibur Grey, Twin/Twin XL Size","16,656",0.61%,"21,307",0.61%,96.50%,"1,360",12,8.17%,0.07%,"$67,392.58",$578.38,"1,254",9
B098Y9Y9WG,B07X4YSVY6,"KASENTEX All Season Down Alternative Quilted Comforter Set - Reversible Duvet Insert - Machine Washable (Rose/Beige, King Set)","26,336",0.97%,"34,094",0.98%,94.98%,"1,264",13,4.80%,0.05%,"$81,315.70",$829.77,"1,252",13
