Campaign ID,Campaign Name,Targeting Type,SKU,First 10 Part Numbers,Customer Search Term,Store,Class,Status,Impressions,Clicks,Average Daily Spend,Spend,7 Day Total Sales,Total Advertising Cost of Sales (ACOS) ,Attributed Orders,Retail ROAS(%),Current Max Bid Price,CPC,CTR (%),Attributed WSC,WSC ROAS
9413,New April Campaign,Product Targeting,KGKH1047,"KTR9001/BL/SINGLE SET, KTR9001/BL/QUEEN SET, KTR9001/BL/KING SET",Humberto Blue Microfiber Reversible Modern & Contemporary Quilt Set,wayfair.com,Bedding Sets,INACTIVE,0,0,0,$0.00,0,0.00,0,0,14,0,0,0,0
9413,New April Campaign,Product Targeting,KGKH1065,"KSD16061/BR/SINGLE SET, KSD16061/BR/QUEEN SET",Grantham Pre-Washed Quilt Set,wayfair.com,Bedding Sets,ACTIVE,0,0,0,$0.00,0,0.00,0,0,1,0,0,0,0
9413,New April Campaign,Product Targeting,KGKH1168,"KWX1804-BL-K, KWX1804-BL-S, KWX1804-BL-Q",Luxora Microfiber Reversible 3 Piece Quilt Set,wayfair.com,Bedding Sets,ACTIVE,0,0,0,$0.00,0,0.00,0,0,1,0,0,0,0
9413,New April Campaign,Product Targeting,KGKH1171,"KWX1806/BC/OS-KING, KWX1806/BC/OS-QUEEN",Hollands Reversible Quilt Set,wayfair.com,Bedding Sets,ACTIVE,0,0,0,$0.00,0,0.00,0,0,1,0,0,0,0
42586,Main Campaign,Product Targeting,GRYL6432,"KXW1702/BL/KING SET, KXW1702/BL/SINGLE SET, KXW1702/BL/QUEEN SET",Amriel Microfiber Reversible Modern & Contemporary Quilt Set,wayfair.com,Bedding Sets,ACTIVE,3371,35,2.14,$14.98,0,0.00,0,0,0.51,0.43,1.04,0,0
42586,Main Campaign,Product Targeting,KGKH1047,"KTR9001/BL/SINGLE SET, KTR9001/BL/QUEEN SET, KTR9001/BL/KING SET",Humberto Blue Microfiber Reversible Modern & Contemporary Quilt Set,wayfair.com,Bedding Sets,ACTIVE,1408,8,0.3871,$2.71,0,0.00,0,0,0.51,0.34,0.57,0,0
42586,Main Campaign,Product Targeting,KGKH1050,"KTR9002/PK/SINGLE SET, KTR9002/PK/QUEEN SET, KTR9002/PK/KING SET",Humberwood Pink/Off-White Microfiber Reversible Modern & Contemporary Quilt Set,wayfair.com,Bedding Sets,ACTIVE,15104,180,10.6937,$85.55,0,0.00,0,0,0.51,0.48,1.19,0,0
42586,Main Campaign,Product Targeting,KGKH1059,"KTR9008/BL/SINGLE SET, KTR9008/BL/QUEEN SET, KTR9008/BL/KING SET",Purple Microfiber Reversible Modern & Contemporary Quilt Set,wayfair.com,Bedding Sets,ACTIVE,7349,65,3.8987,$31.19,0,0.00,0,0,0.51,0.48,0.88,0,0
42586,Main Campaign,Product Targeting,KGKH1065,"KSD16061/BR/SINGLE SET, KSD16061/BR/QUEEN SET",Grantham Pre-Washed Quilt Set,wayfair.com,Bedding Sets,ACTIVE,4488,71,3.685,$29.48,0,0.00,0,0,0.51,0.42,1.58,0,0
42586,Main Campaign,Product Targeting,KGKH1167,"KWX1803-BL-K, KWX1803-BL-Q, KWX1803-BL-S",Merza 3 Piece Reversible Quilt Set,wayfair.com,Bedding Sets,ACTIVE,4010,89,5.5962,$44.77,0,0.00,0,0,0.51,0.5,2.22,0,0
42586,Main Campaign,Product Targeting,KGKH1168,"KWX1804-BL-K, KWX1804-BL-Q, KWX1804-BL-S",Luxora Microfiber Reversible 3 Piece Quilt Set,wayfair.com,Bedding Sets,ACTIVE,8902,158,7.74,$61.92,172.53,0.36,2,278.6337209,0.51,0.39,1.77,75.7,122.254522
42586,Main Campaign,Product Targeting,KGKH1169,"KXW1801-DG-K, KXW1801-DG-Q, KXW1801-DG-S, KXW1801-GB-K, KXW1801-GB-Q",Stonewashed Reversible Quilt Set,wayfair.com,Bedding Sets,ACTIVE,10628,162,9.5712,$76.57,0,0.00,0,0,0.51,0.47,1.52,0,0
42586,Main Campaign,Product Targeting,KGKH1170,"KWX1805/BG/KING SET, KWX1805/BG/QUEEN SET",Gilchrist Microfiber Reversible Quilt Set,wayfair.com,Bedding Sets,ACTIVE,12473,116,7.1212,$56.97,0,0.00,0,0,0.51,0.49,0.93,0,0
42586,Main Campaign,Product Targeting,KGKH1171,"KWX1806/BC/OS-KING, KWX1806/BC/OS-QUEEN",Hollands Reversible Quilt Set,wayfair.com,Bedding Sets,ACTIVE,6740,91,5.6237,$44.99,56.05,0.80,1,124.5832407,0.51,0.49,1.35,22.94,50.98910869
42586,Main Campaign,Product Targeting,KGKH1174,"KWX1810/GN/KING SET, KWX1810/GN/QUEEN SET, KWX1810/GN/TWIN SET",Microfiber Reversible Comforter Set,wayfair.com,Bedding Sets,DELETED,0,0,0,$0.00,0,0.00,0,0,0.51,0,0,0,0
