"A 'Brand Catalog' is a combination of Brand (Wayfair, AllModern, Birch Lane, Perigold, Joss & Main), catalog (US, UK, Germany) and language (English, French).",The term the customer typed into the search bar,The primary class associated with the search term,The total number of impressions of the search term in the last 30 days,"Of the total impressions per class, what was the percentage of impressions for this search term",The percentage of searches where any 1 sku from the supplier appeared whether paid or organic,The percentage of searches where any 1 sku from the supplier appeared on the first page,The percentage of searches where any 1 sku from the supplier appeared on the first page in the top 8 slots
Wayfair CA/EN,queen comforter set,Bedding Sets,1002,9.16%,10.98%,4.29%,0.4%
Wayfair CA/EN,king comforter set,Bedding Sets,616,5.63%,11.2%,4.38%,0.16%
Wayfair CA/EN,quilts and coverlets,Bedding Sets,62,0.57%,20.97%,0%,0%
Wayfair CA/FR,housse de couette,Bedding Sets,989,18.27%,14.36%,3.13%,0.3%
Wayfair CA/FR,ensemble de douillette,Bedding Sets,269,4.97%,16.36%,3.35%,0.74%
Wayfair CA/FR,courtepointe,Bedding Sets,246,4.54%,11.38%,1.22%,0%
Wayfair CA/FR,housse de couette king,Bedding Sets,224,4.14%,29.46%,5.8%,0.45%
Wayfair CA/FR,couvre lit,Bedding Sets,180,3.33%,17.78%,4.44%,1.11%
Wayfair CA/FR,douillette lit queen,Bedding Sets,107,1.98%,21.5%,5.61%,1.87%
Wayfair CA/FR,couvre lit king,Bedding Sets,93,1.72%,18.28%,4.3%,0%
Wayfair CA/FR,couette,Bedding Sets,81,1.5%,8.64%,1.23%,0%
Wayfair CA/FR,douillette,Bedding Sets,76,1.4%,9.21%,2.63%,0%
Wayfair CA/FR,edredon,Bedding Sets,75,1.39%,24%,9.33%,2.67%
Wayfair CA/FR,housse couette,Bedding Sets,62,1.15%,16.13%,1.61%,0%
Wayfair CA/FR,édredon,Bedding Sets,53,0.98%,33.96%,13.21%,1.89%
Wayfair US,duvet cover,Bedding Sets,14445,5.59%,14.97%,6.41%,0.84%
Wayfair US,outdoor cushions,Furniture Cushions,13173,33.14%,1.21%,0.72%,0.19%
Wayfair US,comforter sets,Bedding Sets,11968,4.63%,47.56%,40.44%,31.22%
Wayfair US,bedding,Bedding Sets,10865,4.2%,52.49%,46.92%,13.96%
Wayfair US,comforter,Bedding Sets,10775,4.17%,60.4%,51.04%,27.37%
Wayfair US,queen comforter sets,Bedding Sets,10748,4.16%,48.28%,38.93%,29.22%
Wayfair US,king comforter sets,Bedding Sets,8776,3.4%,47.03%,38.17%,30.44%
Wayfair US,mattress topper,Mattress Toppers and Pads,6991,34.72%,1.53%,0.84%,0.04%
Wayfair US,queen bedding,Bedding Sets,6105,2.36%,36.56%,27.13%,5.81%
Wayfair US,king bedding,Bedding Sets,5696,2.2%,52.3%,39.92%,12.39%
Wayfair US,quilts,Bedding Sets,5243,2.03%,62.94%,51.17%,15.72%
Wayfair US,king quilt,Bedding Sets,5081,1.97%,68.79%,56.29%,28.09%
Wayfair US,king duvet cover,Bedding Sets,4856,1.88%,15.63%,7.25%,0.82%
Wayfair US,bed pillows,Standard Bed Pillows,4785,65.86%,26.35%,23.34%,0.94%
Wayfair US,dog bed,Dog Beds & Mats,4441,22.69%,0.47%,0.07%,0%
Wayfair US,outdoor chair cushions,Furniture Cushions,4307,10.83%,1.88%,1.09%,0.63%
Wayfair US,queen quilt,Bedding Sets,3979,1.54%,68.69%,55.82%,21.84%
Wayfair US,bedspreads,Bedding Sets,3779,1.46%,45.22%,34.51%,7.81%
Wayfair US,king comforter,Bedding Sets,3734,1.44%,58.14%,45.88%,29.33%
Wayfair US,quilt,Bedding Sets,3573,1.38%,64.15%,54.66%,16.26%
Wayfair US,queen duvet cover,Bedding Sets,3243,1.25%,15.97%,5.7%,0.43%
Wayfair US,boho bedding,Bedding Sets,3059,1.18%,3.4%,0.72%,0.13%
Wayfair US,queen comforter,Bedding Sets,2969,1.15%,60.02%,47.93%,26.41%
Wayfair US,queen bedspreads,Bedding Sets,2944,1.14%,45.24%,30.91%,6.73%
