Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Feb 17, 2022","Feb 17, 2022",Quilt Set,USD,1702 TEIKA,Generic,bedspread,BROAD,mustard bedspread,1,1,100.0000%,$0.12,$0.12,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 15, 2022","Feb 20, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king quilt,73,5,6.8493%,$0.21,$1.03,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 18, 2022","Feb 18, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,quilt coverlet king size,1,1,100.0000%,$0.18,$0.18,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 14, 2022","Feb 14, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,stonewash navy quilt king,2,1,50.0000%,$0.23,$0.23,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 20, 2022","Feb 20, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,118 x 106 burgundy quilt,2,1,50.0000%,$0.29,$0.29,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 20, 2022","Feb 20, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,118 x 95 quilt,4,1,25.0000%,$0.18,$0.18,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 21, 2022","Feb 21, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,antique quilt,1,1,100.0000%,$0.22,$0.22,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 19, 2022","Feb 19, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,bedsure quilt,2,1,50.0000%,$0.28,$0.28,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 18, 2022","Feb 18, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,blue queen quilt,1,1,100.0000%,$0.26,$0.26,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 19, 2022","Feb 19, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,blue quilt,4,1,25.0000%,$0.28,$0.28,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 21, 2022","Feb 21, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,calif.king quilt green,6,1,16.6667%,$0.26,$0.26,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 19, 2022","Feb 21, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,chambray quilt,8,2,25.0000%,$0.27,$0.54,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 18, 2022","Feb 18, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,chic home regelria palace watercolor bed quilt,3,1,33.3333%,$0.21,$0.21,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 21, 2022","Feb 21, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,cotton bed quilts,7,1,14.2857%,$0.26,$0.26,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 19, 2022","Feb 19, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,cotton quilts,16,1,6.2500%,$0.28,$0.28,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 17, 2022","Feb 17, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,daybed standard size. quilt,1,1,100.0000%,$0.24,$0.24,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 20, 2022","Feb 20, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,denim quilt,54,2,3.7037%,$0.29,$0.58,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 20, 2022","Feb 20, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,emerald green cotton quilt,2,1,50.0000%,$0.28,$0.28,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 19, 2022","Feb 19, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,emerald green quilt,41,3,7.3171%,$0.26,$0.77,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 20, 2022","Feb 20, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,faded navy quilt,1,1,100.0000%,$0.29,$0.29,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 16, 2022","Feb 16, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,gauze layering quilt,2,1,50.0000%,$0.17,$0.17,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 20, 2022","Feb 20, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,green quilt,25,1,4.0000%,$0.29,$0.29,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 19, 2022","Feb 19, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,kantha quilt,4,1,25.0000%,$0.08,$0.08,49.99,0.00,624.88,1,1,100.0000%,0,1,$0.00,$49.99
"Feb 20, 2022","Feb 20, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,kids bedding quilt brown turquoise,4,1,25.0000%,$0.29,$0.29,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 18, 2022","Feb 21, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,king quilt,107,4,3.7383%,$0.24,$0.97,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 21, 2022","Feb 21, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,king size quilt,37,2,5.4054%,$0.26,$0.52,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 20, 2022","Feb 20, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,lime double quilts,3,1,33.3333%,$0.29,$0.29,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 19, 2022","Feb 19, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,madison park silver quilt,1,1,100.0000%,$0.28,$0.28,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 17, 2022","Feb 17, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,mint quilt,1,1,100.0000%,$0.24,$0.24,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 19, 2022","Feb 19, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,navy stonewash quilt,2,1,50.0000%,$0.28,$0.28,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 20, 2022","Feb 20, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,organic cotton quilts,581,2,0.3442%,$0.26,$0.52,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 20, 2022","Feb 20, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,polka dot quilt,6,1,16.6667%,$0.27,$0.27,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 21, 2022","Feb 21, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,pumpkin color bed quilt,3,1,33.3333%,$0.17,$0.17,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 21, 2022","Feb 21, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,queen bed quilt,4,2,50.0000%,$0.26,$0.51,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 20, 2022","Feb 20, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,quilt prime day,25,1,4.0000%,$0.29,$0.29,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 17, 2022","Feb 17, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,quilts for full size bed,2,1,50.0000%,$0.24,$0.24,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 21, 2022","Feb 21, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,quilts queen size,4,1,25.0000%,$0.26,$0.26,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 21, 2022","Feb 21, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,quilts queen size cotton,3,1,33.3333%,$0.22,$0.22,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
