"Matched product ","Product targets","Added as","Impressions","Clicks","CTR","Spend(USD)","CPC(USD)","Orders","Sales(USD)","ACOS","ROAS","Conversion rate"
"black with beige stripes chic bedspread","bedspread","","3","1","33.33",0.31,0.31,"0",0,,"0.0","0.0"
"bed spread queen sized","bed spread queen sized","Keyword: broad","171","5","2.92",1.66,0.33,"0",0,,"0.0","0.0"
"bedspread for no skirt","bedspread","","2","1","50.00",0.29,0.29,"0",0,,"0.0","0.0"
"audra velvet king quilt","velvet king","","1","1","100.00",0.29,0.29,"0",0,,"0.0","0.0"
"bedspreads king size clearance quilt","bedspreads king","","47","3","6.38",1.74,0.58,"0",0,,"0.0","0.0"
"black bedspread","bedspread","","2","1","50.00",0.29,0.29,"0",0,,"0.0","0.0"
"bedspreads 120 x 118”","bedspread","","2","1","50.00",0.29,0.29,"0",0,,"0.0","0.0"
"bedspreads for great sleeping","bedspread","","2","1","50.00",0.23,0.23,"0",0,,"0.0","0.0"
"bedspreads for king beds","bedspreads king","","1705","15","0.88",7.47,0.5,"0",0,,"0.0","0.0"
"bedspread sets queen size comforter and sheets","queen size comforter","","1","1","100.00",0.37,0.37,"0",0,,"0.0","0.0"
"97 x 106 king black bedspread","bedspreads king","","91","1","1.10",0.58,0.58,"0",0,,"0.0","0.0"
"beige queen size comforter clearance","queen size comforter","","1","1","100.00",0.34,0.34,"0",0,,"0.0","0.0"
"black soft quilt king size","soft quilt","","2","1","50.00",0.32,0.32,"0",0,,"0.0","0.0"
"blue velvet comforter","velvet comforter","","6","1","16.67",0.1,0.1,"0",0,,"0.0","0.0"
"bedspreads","bedspread","","2257","32","1.42",7.84,0.24,"2",115.98,"6.759786170029315","14.793367346938775","6.25"
"128x120 bedspread","bedspread","","27","6","22.22",1.95,0.32,"0",0,,"0.0","0.0"
"black plush bedspread","bedspread","","2","1","50.00",0.29,0.29,"0",0,,"0.0","0.0"
"beige velvet bedspread","bedspread","","28","1","3.57",0.25,0.25,"0",0,,"0.0","0.0"
"black quilt set queen","quilt sets queen","","26","1","3.85",0.48,0.48,"0",0,,"0.0","0.0"
"blue bedspread queen","bedspread","","8","1","12.50",0.3,0.3,"0",0,,"0.0","0.0"
"bedspreads queen size","bedspread","","1225","28","2.29",8.22,0.29,"0",0,,"0.0","0.0"
"bedding sets queen","bedding sets queen","Keyword: broad","713","20","2.81",5.54,0.28,"0",0,,"0.0","0.0"
"bedspread for queen beds","bedspread","","346","10","2.89",3.41,0.34,"0",0,,"0.0","0.0"
"black velvet king bedding","velvet king","","4","1","25.00",0.42,0.42,"0",0,,"0.0","0.0"
"amazon queen bed quilts","bed quilt","","17","2","11.76",0.31,0.15,"0",0,,"0.0","0.0"
"bedspread queen size velvet","bedspreads queen size velvet","","2","1","50.00",0.26,0.26,"0",0,,"0.0","0.0"
"bedspread king size maroon","bedspread","","2","1","50.00",0.29,0.29,"0",0,,"0.0","0.0"
"beach bedspreads king size","bedspread","","2","1","50.00",0.27,0.27,"0",0,,"0.0","0.0"
"black light soft queen size comforter","queen size comforter","","1","1","100.00",0.21,0.21,"0",0,,"0.0","0.0"
"beige color queen size comforter","queen size comforter","","9","1","11.11",0.38,0.38,"0",0,,"0.0","0.0"
