Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Feb 22, 2022","Feb 22, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,cotton gauze quilt king rust,1,1,100.0000%,$0.13,$0.13,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 26, 2022","Feb 26, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king quilts,6,1,16.6667%,$0.05,$0.05,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 27, 2022","Feb 27, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,104x90 quilt,9,1,11.1111%,$0.31,$0.31,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 27, 2022","Feb 27, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,amish quilts handmade,14,1,7.1429%,$0.36,$0.36,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 21, 2022","Feb 21, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,antique quilt,1,1,100.0000%,$0.22,$0.22,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 26, 2022","Feb 26, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,aqua blue bedding quilt,2,1,50.0000%,$0.35,$0.35,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 26, 2022","Feb 26, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,aqua quilt,11,1,9.0909%,$0.33,$0.33,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 26, 2022","Feb 26, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,bed bug green leaf quilt,3,1,33.3333%,$0.35,$0.35,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 27, 2022","Feb 27, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,bed quilt,139,1,0.7194%,$0.31,$0.31,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 26, 2022","Feb 26, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,better homes and gardens quilt,6,1,16.6667%,$0.34,$0.34,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 25, 2022","Feb 25, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,blue queen quilt,7,1,14.2857%,$0.32,$0.32,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 22, 2022","Feb 22, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,blue quilts,1,1,100.0000%,$0.25,$0.25,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 27, 2022","Feb 27, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,boys green quilt bedding,2,1,50.0000%,$0.38,$0.38,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 27, 2022","Feb 27, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,bungalow rose quilt,7,1,14.2857%,$0.38,$0.38,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 21, 2022","Feb 21, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,calif.king quilt green,6,1,16.6667%,$0.26,$0.26,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 25, 2022","Feb 25, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,camden collection quilt,3,1,33.3333%,$0.14,$0.14,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 27, 2022","Feb 27, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,casaluna quilt,6,1,16.6667%,$0.31,$0.31,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 21, 2022","Feb 21, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,chambray quilt,2,1,50.0000%,$0.26,$0.26,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 24, 2022","Feb 24, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,cloud quilt,2,1,50.0000%,$0.32,$0.32,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 26, 2022","Feb 26, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,cobalt quilt,1,1,100.0000%,$0.22,$0.22,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 27, 2022","Feb 27, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,colorful quilt,33,1,3.0303%,$0.33,$0.33,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 26, 2022","Feb 26, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,colorful twin quilt,2,1,50.0000%,$0.35,$0.35,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 25, 2022","Feb 25, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,comfy quilt,1,1,100.0000%,$0.32,$0.32,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
