Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Mar 26, 2022","Mar 26, 2022",Quilt Set,USD,1702 TEIKA,Generic,bedspread,BROAD,bedspread blue polyester,1,1,100.0000%,$0.12,$0.12,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 21, 2022","Mar 21, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,cooling quilt king size,2,1,50.0000%,$0.25,$0.25,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 21, 2022","Mar 21, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,extra large king size quilts,2,1,50.0000%,$0.16,$0.16,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 24, 2022","Mar 24, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king blush quilt,2,1,50.0000%,$0.14,$0.14,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 21, 2022","Mar 21, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king quilt,6,1,16.6667%,$0.28,$0.28,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 22, 2022","Mar 22, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king size micro quilt,2,1,50.0000%,$0.28,$0.28,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 22, 2022","Mar 22, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,mustard quilt king size,1,1,100.0000%,$0.28,$0.28,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 24, 2022","Mar 24, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,quilt king satin finish,3,1,33.3333%,$0.28,$0.28,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 23, 2022","Mar 23, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,sage green king plus quilt,3,2,66.6667%,$0.29,$0.58,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 24, 2022","Mar 24, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,summer quilt king size,9,1,11.1111%,$0.28,$0.28,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
