Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Mar 31, 2022","Mar 31, 2022",Quilt Set,USD,1702 TEIKA,Generic,bedspread,BROAD,blue bedspread made in usa,1,1,100.0000%,$0.12,$0.12,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 29, 2022","Mar 29, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,indigo kantha quilt king,1,1,100.0000%,$0.23,$0.23,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 28, 2022","Mar 31, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king quilt,14,2,14.2857%,$0.21,$0.42,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 29, 2022","Mar 29, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king quilt sage green,2,1,50.0000%,$0.23,$0.23,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 30, 2022","Mar 30, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,110x96 pattern matelasse quilt,2,1,50.0000%,$0.22,$0.22,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 30, 2022","Mar 30, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,"50""x90"" single quilt",1,1,100.0000%,$0.22,$0.22,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 03, 2022","Apr 03, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,brielle quilt,1,1,100.0000%,$0.22,$0.22,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 03, 2022","Apr 03, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,cooling quilt king size,1,1,100.0000%,$0.22,$0.22,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 28, 2022","Mar 29, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,denim quilt,71,2,2.8169%,$0.26,$0.51,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Mar 31, 2022","Mar 31, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,farmhouse quilts king size,1,1,100.0000%,$0.22,$0.22,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 02, 2022","Apr 02, 2022",Quilt Set,USD,1702 TEIKA,Generic,quilt,BROAD,four seasons polyester quilt,7,1,14.2857%,$0.22,$0.22,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
