"A 'Brand Catalog' is a combination of Brand (Wayfair, AllModern, Birch Lane, Perigold, Joss & Main), catalog (US, UK, Germany) and language (English, French).",The term the customer typed into the search bar,The primary class associated with the search term,The total number of impressions of the search term in the last 30 days,"Of the total impressions per class, what was the percentage of impressions for this search term",The percentage of searches where any 1 sku from the supplier appeared whether paid or organic,The percentage of searches where any 1 sku from the supplier appeared on the first page,The percentage of searches where any 1 sku from the supplier appeared on the first page in the top 8 slots
Brand Catalog,Search Term,Class,Last 30 Day Impressions,Search Term Share of Impressions for Given Class,Supplier Share of Search,Supplier Share of Page 1,Supplier Share of Top 8
Wayfair CA/EN,queen comforter set,Bedding Sets,1031,8.89%,10.48%,4.27%,0.1%
Wayfair CA/EN,king comforter set,Bedding Sets,786,6.78%,11.32%,3.94%,0.38%
Wayfair CA/EN,quilt set,Bedding Sets,669,5.77%,16.74%,10.31%,8.22%
Wayfair CA/FR,housse de couette,Bedding Sets,1010,18.76%,14.36%,3.17%,0.2%
Wayfair CA/FR,ensemble de douillette,Bedding Sets,282,5.24%,21.28%,6.38%,1.42%
Wayfair CA/FR,housse de couette king,Bedding Sets,265,4.92%,26.79%,4.15%,0%
Wayfair CA/FR,courtepointe,Bedding Sets,254,4.72%,10.24%,1.57%,0.39%
Wayfair CA/FR,couvre lit,Bedding Sets,168,3.12%,17.86%,5.36%,1.19%
Wayfair CA/FR,douillette,Bedding Sets,163,3.03%,12.27%,5.52%,0.61%
Wayfair CA/FR,douillette lit queen,Bedding Sets,93,1.73%,24.73%,7.53%,1.08%
Wayfair CA/FR,edredon,Bedding Sets,88,1.63%,22.73%,10.23%,2.27%
Wayfair CA/FR,couette,Bedding Sets,81,1.5%,8.64%,1.23%,0%
Wayfair CA/FR,couvre lit king,Bedding Sets,72,1.34%,16.67%,2.78%,0%
Wayfair CA/FR,housse couette,Bedding Sets,63,1.17%,15.87%,1.59%,0%
Wayfair CA/FR,édredon,Bedding Sets,57,1.06%,29.82%,14.04%,0%
Wayfair US,duvet cover,Bedding Sets,15078,5.78%,15.55%,6.15%,0.76%
Wayfair US,outdoor cushions,Furniture Cushions,12754,32.52%,1.08%,0.56%,0.19%
Wayfair US,comforter sets,Bedding Sets,12380,4.74%,45.23%,37.77%,27.61%
Wayfair US,queen comforter sets,Bedding Sets,11344,4.35%,45.75%,35.85%,25.48%
Wayfair US,comforter,Bedding Sets,11023,4.22%,56.78%,47.64%,23.61%
Wayfair US,bedding,Bedding Sets,11003,4.22%,46.82%,40.81%,11.98%
Wayfair US,king comforter sets,Bedding Sets,9190,3.52%,44.11%,35.11%,26.69%
Wayfair US,throw blanket,Blankets And Throws,8455,28.52%,1.02%,0.18%,0%
Wayfair US,mattress topper,Mattress Toppers and Pads,6754,35.06%,1.53%,0.7%,0.03%
Wayfair US,queen bedding,Bedding Sets,6242,2.39%,35.66%,25.5%,5.51%
Wayfair US,king bedding,Bedding Sets,5876,2.25%,48.35%,35.31%,10.96%
Wayfair US,quilts,Bedding Sets,5368,2.06%,60.43%,48.01%,14.74%
Wayfair US,bed pillows,Standard Bed Pillows,4989,64.98%,28.6%,25.08%,1.1%
Wayfair US,king quilt,Bedding Sets,4967,1.9%,68.35%,55.89%,21.94%
Wayfair US,king duvet cover,Bedding Sets,4924,1.89%,15.25%,5.95%,0.81%
Wayfair US,dog bed,Dog Beds & Mats,4352,20.88%,0.53%,0.07%,0%
Wayfair US,outdoor chair cushions,Furniture Cushions,4064,10.36%,1.65%,0.74%,0.54%
Wayfair US,queen quilt,Bedding Sets,3969,1.52%,66.57%,53.62%,18.22%
Wayfair US,king comforter,Bedding Sets,3900,1.49%,54.15%,42.49%,25.31%
Wayfair US,bedspreads,Bedding Sets,3824,1.46%,42%,30.33%,6.9%
Wayfair US,quilt,Bedding Sets,3529,1.35%,62.85%,53.16%,15.73%
Wayfair US,queen duvet cover,Bedding Sets,3367,1.29%,16.48%,5.58%,0.5%
Wayfair US,queen comforter,Bedding Sets,3103,1.19%,56.62%,44.34%,23.04%
Wayfair US,down comforter,Duvet Fills and Down Comforters,3096,32.28%,13.4%,9.24%,0.65%
Wayfair US,queen bedspreads,Bedding Sets,3020,1.16%,43.11%,28.34%,6.46%
Wayfair US,boho bedding,Bedding Sets,2966,1.14%,3.57%,0.57%,0.07%
Wayfair US,king bedspread,Bedding Sets,2904,1.11%,42.63%,27.51%,6.06%
Wayfair US,duvet insert,Duvet Fills and Down Comforters,2874,29.96%,9.95%,7.13%,0.63%
Wayfair US,bed in a bag,Bedding Sets,2478,0.95%,7.18%,2.02%,0.2%
Wayfair US,comforters,Bedding Sets,2338,0.9%,57.83%,46.24%,22.8%
Wayfair US,outdoor seat cushions,Furniture Cushions,2259,5.76%,1.95%,0.97%,0.35%
Wayfair US,blanket,Blankets And Throws,2139,7.22%,1.45%,0.37%,0.14%
Wayfair US,quilt sets,Bedding Sets,2016,0.77%,66.22%,53.77%,13.54%
Wayfair US,california king comforter,Bedding Sets,1950,0.75%,21.59%,21.18%,20.77%
Wayfair US,comforter set,Bedding Sets,1859,0.71%,52.07%,45.62%,35.18%
Wayfair US,bedspread,Bedding Sets,1818,0.7%,39.44%,29.54%,7.21%
Wayfair US,king size comforter sets,Bedding Sets,1818,0.7%,47.58%,37.24%,26.51%
Wayfair US,white comforter,Bedding Sets,1816,0.7%,60.68%,51.98%,16.19%
Wayfair US,king quilt sets,Bedding Sets,1775,0.68%,70.65%,56.06%,32.11%
Wayfair US,queen bedding set,Bedding Sets,1760,0.67%,45.28%,32.16%,5.63%
Wayfair US,super oversized king bedspread,Bedding Sets,1759,0.67%,46.67%,34%,8.93%
Wayfair US,california king comforter sets,Bedding Sets,1741,0.67%,23.55%,23.26%,22%
Wayfair US,super oversized king comforter,Bedding Sets,1665,0.64%,51.59%,39.64%,3.9%
Wayfair US,twin bedding,Bedding Sets,1557,0.6%,43.48%,34.36%,9.18%
Wayfair US,queen quilt sets,Bedding Sets,1516,0.58%,67.28%,52.51%,13.59%
Wayfair US,duvet cover set,Bedding Sets,1488,0.57%,14.85%,3.97%,0.81%
Wayfair US,twin comforter,Bedding Sets,1450,0.56%,63.66%,53.66%,30%
